approved,split,row_index,text,old_label,new_label,old_name,new_name,decision,confidence,is_mixed_sentiment,reason,positive_hits,negative_hits
0,train,2303,饼很大，但是速度很慢,1,0,正向,负向,candidate_label_error,medium,0,原标签为正向，但明显负向表达 2 处: 慢/很慢,,慢|很慢
0,train,2318,还不错。红烧肉分量足，但是有点小腻,0,1,负向,正向,candidate_label_error,medium,0,原标签为负向，但明显正向表达 2 处: 量足/分量足,量足|分量足,
1,train,2435,"好评，必须好评，有点如下:,1，有创意:把肉夹馍的皮去掉，换成煎饼包肉，有创意。,2，量足:图片是两个，实际只有一个，只要吃三个就饱了。,3，便宜:20块钱买个肉夹馍，真值。,4，送餐及时:十一点半订的，说十二点半到，结果一点半就到了。,必须赞!!!",0,1,负向,正向,candidate_label_error,high,0,原标签为负向，但明显正向表达 3 处: 好评/好评/量足,好评|好评|量足,
1,train,2489,卷饼很不错，肉很多，还是用锡箔纸包起来的，还有一个一次性手套，赞一个。缺点是送餐慢了一点。,1,0,正向,负向,candidate_label_error,high,0,原标签为正向，但明显负向表达 3 处: 慢/送餐慢/缺,,慢|送餐慢|缺
1,train,2684,很满意！服务态度很好！谢谢！,0,1,负向,正向,candidate_label_error,medium,0,原标签为负向，但明显正向表达 2 处: 很满意/满意,很满意|满意,
0,train,2708,串这次不好吃,1,0,正向,负向,candidate_label_error,medium,0,原标签为正向，但明显负向表达 2 处: 不好吃/不好,,不好吃|不好
1,train,2764,今天送的很快，快递员态度好，味道很好,0,1,负向,正向,candidate_label_error,medium,0,原标签为负向，但明显正向表达 2 处: 很快/态度好,很快|态度好,
1,train,2833,粥还可以，饼真不好吃，就是肉块，口感不好，不好吃。,1,0,正向,负向,candidate_label_error,high,0,原标签为正向，但明显负向表达 5 处: 不好吃/不好吃/不好/不好/不好,,不好吃|不好吃|不好|不好|不好
1,train,3292,"太慢了,每次一个小时以上",1,0,正向,负向,candidate_label_error,medium,0,原标签为正向，但明显负向表达 2 处: 慢/太慢,,慢|太慢
1,train,3351,"经常买,卷都挺好,第一次买八宝菜太难吃了,建议改改",1,0,正向,负向,candidate_label_error,medium,0,原标签为正向，但明显负向表达 2 处: 难吃/太难吃,,难吃|太难吃
0,train,3693,好吃，不过粥不好喝,1,0,正向,负向,candidate_label_error,medium,0,原标签为正向，但明显负向表达 2 处: 不好喝/不好,,不好喝|不好
0,train,3720,东西不错，就是送的太慢,1,0,正向,负向,candidate_label_error,medium,0,原标签为正向，但明显负向表达 2 处: 慢/太慢,,慢|太慢
1,train,3762,送餐太慢，饼也不好吃，里边都是肥肉,1,0,正向,负向,candidate_label_error,high,0,原标签为正向，但明显负向表达 4 处: 不好吃/不好/慢/太慢,,不好吃|不好|慢|太慢
0,train,3786,"可以,就是太慢",1,0,正向,负向,candidate_label_error,medium,0,原标签为正向，但明显负向表达 2 处: 慢/太慢,,慢|太慢
0,train,4031,味道不错。菜比较少。最重要的是！！！有一根米线里面有一个小虫子！！！如果米线是卖家自己做的麻烦注意下卫生好嘛！如果是进货买来的，麻烦挑家干净的吧！,0,1,负向,正向,candidate_label_error,medium,0,原标签为负向，但明显正向表达 2 处: 味道不错/干净,味道不错|干净,
0,train,4184,就是送的太慢，但服务不错,1,0,正向,负向,candidate_label_error,medium,0,原标签为正向，但明显负向表达 2 处: 慢/太慢,,慢|太慢
0,train,4256,宫爆鸡丁没放辣椒，简直了，也就因为家里有小朋友不能吃辣，不然就直接倒了，太难吃了,1,0,正向,负向,candidate_label_error,medium,0,原标签为正向，但明显负向表达 2 处: 难吃/太难吃,,难吃|太难吃
1,train,4524,饼太油腻了。吃几口就不行了,1,0,正向,负向,candidate_label_error,medium,0,原标签为正向，但明显负向表达 2 处: 油腻/太油,,油腻|太油
1,train,4896,"送的太慢,由于太饿也不知味道如何,全五分。向同样等待的人们,致敬",1,0,正向,负向,candidate_label_error,medium,0,原标签为正向，但明显负向表达 2 处: 慢/太慢,,慢|太慢
0,train,4989,好吃，送餐慢,1,0,正向,负向,candidate_label_error,medium,0,原标签为正向，但明显负向表达 2 处: 慢/送餐慢,,慢|送餐慢
0,train,5344,菜不错，但送的实在太慢了……,1,0,正向,负向,candidate_label_error,medium,0,原标签为正向，但明显负向表达 2 处: 慢/太慢,,慢|太慢
0,train,5354,"还不错就是皮蛋粥,不好喝",1,0,正向,负向,candidate_label_error,medium,0,原标签为正向，但明显负向表达 2 处: 不好喝/不好,,不好喝|不好
1,train,5574,送餐好慢好慢好慢,1,0,正向,负向,candidate_label_error,high,0,原标签为正向，但明显负向表达 3 处: 慢/慢/慢,,慢|慢|慢
1,train,5585,配送的太太太慢了，催单根本没用，餐厅电话打不通！,1,0,正向,负向,candidate_label_error,medium,0,原标签为正向，但明显负向表达 2 处: 慢/太慢,,慢|太慢
1,train,5633,蔬菜不好吃,1,0,正向,负向,candidate_label_error,medium,0,原标签为正向，但明显负向表达 2 处: 不好吃/不好,,不好吃|不好
1,train,5656,"鸡翅太坑了,那是小腿肉,好少的,菜量好少",1,0,正向,负向,candidate_label_error,medium,0,原标签为正向，但明显负向表达 2 处: 坑/太坑,,坑|太坑
0,train,5680,粥不好喝！饼不错！加油,1,0,正向,负向,candidate_label_error,medium,0,原标签为正向，但明显负向表达 2 处: 不好喝/不好,,不好喝|不好
0,train,5716,味道不错本来想给五星，但是看推荐才发现我订的冒菜里的山药没有这怎么算啊？,0,1,负向,正向,candidate_label_error,medium,0,原标签为负向，但明显正向表达 2 处: 味道不错/推荐,味道不错|推荐,
0,train,5760,第一次少送了，让配送员跑了两次，不好意思！,1,0,正向,负向,candidate_label_error,medium,0,原标签为正向，但明显负向表达 2 处: 不好/少送,,不好|少送
1,train,5823,速度快，态度好,0,1,负向,正向,candidate_label_error,medium,0,原标签为负向，但明显正向表达 2 处: 速度快/态度好,速度快|态度好,
1,train,6057,太慢了。。。,1,0,正向,负向,candidate_label_error,medium,0,原标签为正向，但明显负向表达 2 处: 慢/太慢,,慢|太慢
1,train,6122,"其它都挺好,就是鸡柳煎饼太难吃了,太重口味了,吃完直恶心",1,0,正向,负向,candidate_label_error,high,0,原标签为正向，但明显负向表达 3 处: 难吃/太难吃/恶心,,难吃|太难吃|恶心
1,train,6329,葱花饼不好吃,1,0,正向,负向,candidate_label_error,medium,0,原标签为正向，但明显负向表达 2 处: 不好吃/不好,,不好吃|不好
1,train,6335,"锅包肉,还好,那个酸菜白肉竟然是大白菜,放了点醋,太难吃了,吃完就拉肚子了",1,0,正向,负向,candidate_label_error,high,0,原标签为正向，但明显负向表达 3 处: 难吃/太难吃/拉肚子,,难吃|太难吃|拉肚子
0,train,6474,送餐慢了点，餐还可以,1,0,正向,负向,candidate_label_error,medium,0,原标签为正向，但明显负向表达 2 处: 慢/送餐慢,,慢|送餐慢
0,train,6475,"很好,就是送货太慢",1,0,正向,负向,candidate_label_error,medium,0,原标签为正向，但明显负向表达 2 处: 慢/太慢,,慢|太慢
0,train,6532,快递小哥很给力，很快哦,0,1,负向,正向,candidate_label_error,medium,0,原标签为负向，但明显正向表达 2 处: 很快/给力,很快|给力,
0,train,6539,好吃，就是送餐慢,1,0,正向,负向,candidate_label_error,medium,0,原标签为正向，但明显负向表达 2 处: 慢/送餐慢,,慢|送餐慢
0,train,6546,南瓜粥没我送！送的太慢了,1,0,正向,负向,candidate_label_error,medium,0,原标签为正向，但明显负向表达 2 处: 慢/太慢,,慢|太慢
1,train,6739,"服务不错,但是太难吃了啊啊啊",1,0,正向,负向,candidate_label_error,medium,0,原标签为正向，但明显负向表达 2 处: 难吃/太难吃,,难吃|太难吃
1,train,6955,送来时有些凉了，感觉缺少了一些香味。餐盒路上坏了，吃时面里的汤没有了。,1,0,正向,负向,candidate_label_error,high,0,原标签为正向，但明显负向表达 3 处: 坏了/凉了/缺,,坏了|凉了|缺
0,train,6961,货真价值的肘子卷饼，味道很赞，就是饭点送餐慢了点，可接受,1,0,正向,负向,candidate_label_error,medium,0,原标签为正向，但明显负向表达 2 处: 慢/送餐慢,,慢|送餐慢
0,train,7068,盐酥鸡太不正宗，不好吃，饭不错啊,1,0,正向,负向,candidate_label_error,medium,0,原标签为正向，但明显负向表达 2 处: 不好吃/不好,,不好吃|不好
1,train,7183,"这个不好吃,吃的好难过",1,0,正向,负向,candidate_label_error,medium,0,原标签为正向，但明显负向表达 2 处: 不好吃/不好,,不好吃|不好
0,train,7437,分量足！但备注了三种荤菜：鱼豆腐、牛肉贡丸和香菇贡丸。送来却只有鱼豆腐。。。,0,1,负向,正向,candidate_label_error,medium,0,原标签为负向，但明显正向表达 2 处: 量足/分量足,量足|分量足,
0,train,7544,太慢了，味道还不错,1,0,正向,负向,candidate_label_error,medium,0,原标签为正向，但明显负向表达 2 处: 慢/太慢,,慢|太慢
0,train,7654,很实惠，味道不错,0,1,负向,正向,candidate_label_error,medium,0,原标签为负向，但明显正向表达 2 处: 味道不错/实惠,味道不错|实惠,
0,train,7948,商家不把顾客留言放心上，强调不要辣椒，商家还是放了很了很多，弄的孩子无法吃，其他菜品味道不错，快递小哥很不错都送院里来了很棒！,0,1,负向,正向,candidate_label_error,medium,0,原标签为负向，但明显正向表达 2 处: 味道不错/很棒,味道不错|很棒,
0,train,8004,表示售后客服很不错，虽然送错口味让我多等了一个小时，但是味道真心很赞,1,0,正向,负向,candidate_label_error,medium,0,原标签为正向，但明显负向表达 2 处: 等了/送错,,等了|送错
0,train,8134,从没见过配送员之间要好评的。上来一张口就说给我个好评。凭什么呀。您的餐还没从餐箱里拿出来就要好评！就这服务！还没服务就要好评！凭什么！真差,0,1,负向,正向,candidate_label_error,high,0,原标签为负向，但明显正向表达 4 处: 好评/好评/好评/好评,好评|好评|好评|好评,
0,val,119,好吃就是太慢了,1,0,正向,负向,candidate_label_error,medium,0,原标签为正向，但明显负向表达 2 处: 慢/太慢,,慢|太慢
0,val,191,送餐很快、很好吃，干净卫生,0,1,负向,正向,candidate_label_error,high,0,原标签为负向，但明显正向表达 3 处: 很好吃/很快/干净,很好吃|很快|干净,
1,val,307,太慢啦！80多分钟才送到！,1,0,正向,负向,candidate_label_error,medium,0,原标签为正向，但明显负向表达 2 处: 慢/太慢,,慢|太慢
,val,314,味道都很好，就是终于饭点送餐慢,1,0,正向,负向,candidate_label_error,medium,0,原标签为正向，但明显负向表达 2 处: 慢/送餐慢,,慢|送餐慢
1,val,458,肘子卷好腻，吃完有点想吐……太油了，肥肉太多，没有太肚饿酱料调和一下,1,0,正向,负向,candidate_label_error,medium,0,原标签为正向，但明显负向表达 2 处: 想吐/太油,,想吐|太油
0,val,460,东西还可以但是送餐速度太慢了,1,0,正向,负向,candidate_label_error,medium,0,原标签为正向，但明显负向表达 2 处: 慢/太慢,,慢|太慢
0,val,640,今天晚了50分钟送到，大下雨天的送餐不容易，饭不错，凉拌木耳不好吃,1,0,正向,负向,candidate_label_error,medium,0,原标签为正向，但明显负向表达 2 处: 不好吃/不好,,不好吃|不好
0,val,654,速度快，清汤的，没辣椒，简直…以后不会点了…喜欢清淡口味的朋友可以选择。,0,1,负向,正向,candidate_label_error,medium,0,原标签为负向，但明显正向表达 2 处: 喜欢/速度快,喜欢|速度快,
0,val,660,就在家附近，以前总去吃，可是近两三个月以来菜品没有以前好吃了，大拌菜拌苦菊一类的菜总是很甜，估计是商家为了省事就放在糖水里泡着，炒菜用的油也没以前好了，我老公胃敏感，能吃出来，油不好他会胃疼的，估计价格亲民后成本太高商家就开始糊弄事儿了，现在基本不爱来这里了，宁愿绕道去上品粥面，店员服务也没以前那么好了…好的东西贵在坚持，希望商家有心能懂这些，哪怕提升价格也别降低质量，否则日久天长损失的还是自己,1,0,正向,负向,candidate_label_error,medium,0,原标签为正向，但明显负向表达 2 处: 不好/糊,,不好|糊
1,val,850,纯素的太难吃，太淡了，其它不错,1,0,正向,负向,candidate_label_error,medium,0,原标签为正向，但明显负向表达 2 处: 难吃/太难吃,,难吃|太难吃
0,val,862,味道很好就是送餐太慢,1,0,正向,负向,candidate_label_error,medium,0,原标签为正向，但明显负向表达 2 处: 慢/太慢,,慢|太慢
0,val,1036,还不错，就是太慢,1,0,正向,负向,candidate_label_error,medium,0,原标签为正向，但明显负向表达 2 处: 慢/太慢,,慢|太慢
1,val,1065,鸡肉不好吃，多弄点肘子，不多说,1,0,正向,负向,candidate_label_error,medium,0,原标签为正向，但明显负向表达 2 处: 不好吃/不好,,不好吃|不好
0,val,1099,点的卤肉饭和牛肉丸，都很好吃，可是没有勺子，我让开发票了，也没有给开发票，而且我是17:15下单，17:16商家确认订单，直到19:02还未送到，我电话查询后，告知说漏单了，我只是实话实说一下，没别的意思，在中关村这家吉吉熊订餐十多次了，这次是等最久的一次，但是可以被原谅，谁都有失误的时候。希望店家以后注意下，我以后还是会在你家订餐的，因为饭很好吃。,0,1,负向,正向,candidate_label_error,medium,0,原标签为负向，但明显正向表达 2 处: 很好吃/很好吃,很好吃|很好吃,
0,val,1178,东西还不错，但是送餐速度太慢了，不能按时送达，第二单两个多小时了，还没有到，这速度真是醉了,1,0,正向,负向,candidate_label_error,medium,0,原标签为正向，但明显负向表达 2 处: 慢/太慢,,慢|太慢
1,val,1225,"慢,一次比一次慢,再也不定了",1,0,正向,负向,candidate_label_error,high,0,原标签为正向，但明显负向表达 3 处: 慢/慢/再也不,,慢|慢|再也不
1,val,1307,外卖的吮指原味鸡盒，意外的不好吃，没腌透的感觉。,1,0,正向,负向,candidate_label_error,medium,0,原标签为正向，但明显负向表达 2 处: 不好吃/不好,,不好吃|不好
0,val,1468,"送餐快,饭也挺好吃的,就是饭和菜量比较少,能再多点就完美了",0,1,负向,正向,candidate_label_error,medium,0,原标签为负向，但明显正向表达 2 处: 挺好吃/完美,挺好吃|完美,
0,val,1501,不错就是太慢了,1,0,正向,负向,candidate_label_error,medium,0,原标签为正向，但明显负向表达 2 处: 慢/太慢,,慢|太慢
1,val,1522,"历时1个小时40分钟收到餐，而且超级难吃,总言之就是超慢超难吃，谁点谁后悔",1,0,正向,负向,candidate_label_error,high,0,原标签为正向，但明显负向表达 4 处: 难吃/难吃/慢/超慢,,难吃|难吃|慢|超慢
1,val,1541,就是太慢了，对方送错地方了，无语,1,0,正向,负向,candidate_label_error,high,0,原标签为正向，但明显负向表达 3 处: 慢/太慢/送错,,慢|太慢|送错
0,val,1662,"还可以,但是饼还是烙出来的好,这种摊出来的,面饼,黏黏糊糊,不如那个好吃",1,0,正向,负向,candidate_label_error,medium,0,原标签为正向，但明显负向表达 2 处: 糊/糊,,糊|糊
1,val,1675,这个小炒肉不好吃，我吃过的他家最难吃的菜之一,1,0,正向,负向,candidate_label_error,high,0,原标签为正向，但明显负向表达 3 处: 难吃/不好吃/不好,,难吃|不好吃|不好
1,val,1786,皮蛋瘦肉粥没味道,1,0,正向,负向,candidate_label_error,medium,0,原标签为正向，但明显负向表达 2 处: 没味/没味道,,没味|没味道
1,test,56,没有及第好吃，话说也太慢了，等了快俩小时。,1,0,正向,负向,candidate_label_error,high,0,原标签为正向，但明显负向表达 3 处: 慢/太慢/等了,,慢|太慢|等了
1,test,60,"没有想象中好吃,没味道,可能,鱼香好吃点",1,0,正向,负向,candidate_label_error,medium,0,原标签为正向，但明显负向表达 2 处: 没味/没味道,,没味|没味道
1,test,115,薯条皮了，奶酪棒没味道,1,0,正向,负向,candidate_label_error,medium,0,原标签为正向，但明显负向表达 2 处: 没味/没味道,,没味|没味道
1,test,242,水煮肉味道非常好，菜量足，豆腐鲜嫩可口，方便，服务良好。,0,1,负向,正向,candidate_label_error,high,0,原标签为负向，但明显正向表达 4 处: 非常好/量足/可口/鲜嫩,非常好|量足|可口|鲜嫩,
1,test,259,谢谢，服务非常好，继续支持,0,1,负向,正向,candidate_label_error,medium,0,原标签为负向，但明显正向表达 2 处: 非常好/支持,非常好|支持,
0,test,287,"东西好吃,送餐超级慢,送来都快死了,昨天挺快的今天慢的要死。。。",1,0,正向,负向,candidate_label_error,medium,0,原标签为正向，但明显负向表达 2 处: 慢/慢,,慢|慢
1,test,336,不好吃，没有其他地方店面做的好吃，鸡腿肉的酱太少了，特别干，一点都不好吃！,1,0,正向,负向,candidate_label_error,high,0,原标签为正向，但明显负向表达 4 处: 不好吃/不好吃/不好/不好,,不好吃|不好吃|不好|不好
0,test,439,从包装到味道总体还可以，就是小菜不怎么好吃，木耳还凑合，辣白菜根本不是那味儿！所以小菜再弄好点的话，还会多多支持！,0,1,负向,正向,candidate_label_error,medium,0,原标签为负向，但明显正向表达 2 处: 支持/还会,支持|还会,
1,test,496,"难吃,难吃,难吃。凉了,凉了",1,0,正向,负向,candidate_label_error,high,0,原标签为正向，但明显负向表达 5 处: 难吃/难吃/难吃/凉了/凉了,,难吃|难吃|难吃|凉了|凉了
1,test,598,排骨不错，丸子不好吃。很不好吃,1,0,正向,负向,candidate_label_error,high,0,原标签为正向，但明显负向表达 4 处: 不好吃/不好吃/不好/不好,,不好吃|不好吃|不好|不好
0,test,604,"有点凉了,煎饼不热乎就好吃了,不过能在这雨夹雪的夜晚在屋里等待晚餐也是很爽的一件事儿",1,0,正向,负向,candidate_label_error,medium,0,原标签为正向，但明显负向表达 2 处: 凉了/不热,,凉了|不热
1,test,624,今天太慢了,1,0,正向,负向,candidate_label_error,medium,0,原标签为正向，但明显负向表达 2 处: 慢/太慢,,慢|太慢
1,test,825,送餐少送了一份，打了电话又送一次，还赠送了果醋和粽子，没多少钱的东西让人家跑了两趟也挺不好意思！,1,0,正向,负向,candidate_label_error,medium,0,原标签为正向，但明显负向表达 2 处: 不好/少送,,不好|少送
0,test,851,菜挺好的，就是太慢，一个多小时才到,1,0,正向,负向,candidate_label_error,medium,0,原标签为正向，但明显负向表达 2 处: 慢/太慢,,慢|太慢
1,test,910,"好吃,就是太慢,两个小时才送到",1,0,正向,负向,candidate_label_error,medium,0,原标签为正向，但明显负向表达 2 处: 慢/太慢,,慢|太慢
1,test,959,我天。。。速度太慢了。。。十点半下的单，十二点半才送到，艾玛,1,0,正向,负向,candidate_label_error,medium,0,原标签为正向，但明显负向表达 2 处: 慢/太慢,,慢|太慢
1,test,1022,尖椒土豆丝不好吃，别的都不错,1,0,正向,负向,candidate_label_error,medium,0,原标签为正向，但明显负向表达 2 处: 不好吃/不好,,不好吃|不好
1,test,1026,送餐太慢了！！！！！,1,0,正向,负向,candidate_label_error,medium,0,原标签为正向，但明显负向表达 2 处: 慢/太慢,,慢|太慢
0,test,1199,"感觉非常不实惠。,拌饭里面的各色菜只有一点点点儿，豆芽可以用几根来数。,只能吃到辣椒酱的味道，吃过正一味多次，口味最差的一次。,一听装可口可乐就是“7元饮料”。,如果不是这次送餐很快，真想给你一星或负星。",0,1,负向,正向,candidate_label_error,medium,0,原标签为负向，但明显正向表达 2 处: 很快/可口,很快|可口,
0,test,1216,"第一次点的时候,送餐慢，服务态度不好，隔了好久，在看评论都说送餐慢，我也很犹豫，不过抱着侥幸赌运气的成分在里面，试着又点了一次，没想到送餐速度跟我预定的时间刚好，菜也好吃。完美。满分。",1,0,正向,负向,candidate_label_error,medium,1,"原标签为正向，但负向表达明显多于正向: neg=5, pos=1; 含转折/混合情绪，人工复核时需谨慎",完美,不好|慢|慢|送餐慢|送餐慢
0,test,1504,一份鱼香肉丝小炒的量还没有盖饭的分量足，根本不够吃！！！！图文不符！！！,0,1,负向,正向,candidate_label_error,medium,0,原标签为负向，但明显正向表达 2 处: 量足/分量足,量足|分量足,
0,test,1615,饭菜不错，速度太慢了,1,0,正向,负向,candidate_label_error,medium,0,原标签为正向，但明显负向表达 2 处: 慢/太慢,,慢|太慢
0,test,1753,"送得慢。。下午一兩點定的也等了一個多小時,不過味道真的不錯,包裝的看起來很貼心！正能量卷餅~",1,0,正向,负向,candidate_label_error,high,0,原标签为正向，但明显负向表达 3 处: 慢/送得慢/等了,,慢|送得慢|等了
